id,value
flare.other.BENEFITS_TO_FORMER_PERSONNEL,0.0
flare.other.EQUIPMENT,2342264.890000006
flare.other.FRANKED_MAIL,1859668.2000000058
flare.other.OTHER_SERVICES,5491519.250000001
flare.other.PERSONNEL_COMPENSATION,98990407.40000008
flare.other.PRINTING_AND_REPRODUCTION,2748730.3800000036
flare.other.RENT__COMMUNICATION__UTILITIES,10786003.89000003
flare.other.SUPPLIES_AND_MATERIALS,6135330.550000117
flare.other.TRANSPORTATION_OF_THINGS,-2501.3999999999996
flare.other.TRAVEL,4911918.69000002
